date,NYMX_adj_close,NYMX_cashflow,NYMX_cml_units,NYMX_cml_cost,NYMX_gain_loss,NYMX_avg_price,NYMX_mktvalue
2020-12-03,1.92,-4999.308,2759.0,4999.308,2455.51,1.812,5297.28
2020-12-04,2.24,-4999.308,2759.0,4999.308,2455.51,1.812,6180.16
2020-12-07,2.5,-4999.308,2759.0,4999.308,2455.51,1.812,6897.5
2020-12-08,2.28,-4999.308,2759.0,4999.308,2455.51,1.812,6290.52
2020-12-09,2.21,-4999.308,2759.0,4999.308,2455.51,1.812,6097.39
2020-12-10,2.24,-4999.308,2759.0,4999.308,2455.51,1.812,6180.16
2020-12-11,2.16,-4999.308,2759.0,4999.308,2455.51,1.812,5959.44
2020-12-14,2.18,-4999.308,2759.0,4999.308,2455.51,1.812,6014.62
2020-12-15,2.19,-4999.308,2759.0,4999.308,2455.51,1.812,6042.21
2020-12-16,2.25,-4999.308,2759.0,4999.308,2455.51,1.812,6207.75
2020-12-17,2.3,-4999.308,2759.0,4999.308,2455.51,1.812,6345.7
2020-12-18,2.83,-4999.308,2759.0,4999.308,2455.51,1.812,7807.97
2020-12-21,2.54,-4999.308,2759.0,4999.308,2455.51,1.812,7007.86
2020-12-22,2.4,-4999.308,2759.0,4999.308,2455.51,1.812,6621.6
2020-12-23,2.32,-4999.308,2759.0,4999.308,2455.51,1.812,6400.88
2020-12-24,2.48,-4999.308,2759.0,4999.308,2455.51,1.812,6842.32
2020-12-28,2.57,-4999.308,2759.0,4999.308,2455.51,1.812,7090.63
2020-12-29,2.53,-4999.308,2759.0,4999.308,2455.51,1.812,6980.27
2020-12-30,2.53,-4999.308,2759.0,4999.308,2455.51,1.812,6980.27
2020-12-31,2.48,-4999.308,2759.0,4999.308,2455.51,1.812,6842.32
2021-01-04,2.52,-4999.308,2759.0,4999.308,2455.51,1.812,6952.68
2021-01-05,2.57,-4999.308,2759.0,4999.308,2455.51,1.812,7090.63
2021-01-06,2.55,-4999.308,2759.0,4999.308,2455.51,1.812,7035.45
2021-01-07,2.79,-4999.308,2759.0,4999.308,2455.51,1.812,7697.61
2021-01-08,2.7,-4999.308,2759.0,4999.308,2455.51,1.812,7449.3
2021-01-11,2.68,-4999.308,2759.0,4999.308,2455.51,1.812,7394.12
2021-01-12,2.78,-4999.308,2759.0,4999.308,2455.51,1.812,7670.02
2021-01-13,2.56,-4999.308,2759.0,4999.308,2455.51,1.812,7063.04
2021-01-14,2.54,-4999.308,2759.0,4999.308,2455.51,1.812,7007.86
2021-01-15,2.53,-4999.308,2759.0,4999.308,2455.51,1.812,6980.27
2021-01-19,2.53,-4999.308,2759.0,4999.308,2455.51,1.812,6980.27
2021-01-20,2.53,-4999.308,2759.0,4999.308,2455.51,1.812,6980.27
2021-01-21,2.42,-4999.308,2759.0,4999.308,2455.51,1.812,6676.78
2021-01-22,2.4,-4999.308,2759.0,4999.308,2455.51,1.812,6621.6
2021-01-25,2.41,-4999.308,2759.0,4999.308,2455.51,1.812,6649.19
2021-01-26,2.37,-4999.308,2759.0,4999.308,2455.51,1.812,6538.83
2021-01-27,2.28,-4999.308,2759.0,4999.308,2455.51,1.812,6290.52
2021-01-28,2.23,-4999.308,2759.0,4999.308,2455.51,1.812,6152.57
2021-01-29,2.39,-4999.308,2759.0,4999.308,2455.51,1.812,6594.01
2021-02-01,2.46,-4999.308,2759.0,4999.308,2455.51,1.812,6787.14
2021-02-02,2.44,-4999.308,2759.0,4999.308,2455.51,1.812,6731.96
2021-02-03,2.43,-4999.308,2759.0,4999.308,2455.51,1.812,6704.37
2021-02-04,2.97,-4999.308,2759.0,4999.308,2455.51,1.812,8194.23
2021-02-05,2.97,-4999.308,2759.0,4999.308,2455.51,1.812,8194.23
2021-02-08,2.95,-4999.308,2759.0,4999.308,2455.51,1.812,8139.05
2021-02-09,2.91,-4999.308,2759.0,4999.308,2455.51,1.812,8028.69
2021-02-10,3.1,-4999.308,2759.0,4999.308,2455.51,1.812,8552.9
2021-02-11,3.06,-4999.308,2759.0,4999.308,2455.51,1.812,8442.54
2021-02-12,3.18,-4999.308,2759.0,4999.308,2455.51,1.812,8773.62
2021-02-16,3.39,-4999.308,2759.0,4999.308,2455.51,1.812,9353.01
2021-02-17,3.23,-4999.308,2759.0,4999.308,2455.51,1.812,8911.57
2021-02-18,3.19,-4999.308,2759.0,4999.308,2455.51,1.812,8801.21
2021-02-19,3.22,-4999.308,2759.0,4999.308,2455.51,1.812,8883.98
2021-02-22,3.13,-4999.308,2759.0,4999.308,2455.51,1.812,8635.67
2021-02-23,3.01,-4999.308,2759.0,4999.308,2455.51,1.812,8304.59
2021-02-24,2.91,-4999.308,2759.0,4999.308,2455.51,1.812,8028.69
2021-02-25,2.7,-4999.308,2759.0,4999.308,2455.51,1.812,7449.3
2021-02-26,2.61,-4999.308,2759.0,4999.308,2455.51,1.812,7200.99
