date,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,CIB_adj_close,CIB_cashflow,CIB_cml_units,CIB_cml_cost,CIB_gain_loss,CIB_avg_price,CIB_mktvalue
2020-07-13,4.394,-4998.685,625.0,4998.685,0.0,7.998,2746.18,26.604,-4954.851,96.154,4954.851,0.0,51.53,2558.078
2020-07-14,4.403,-4998.685,625.0,4998.685,0.0,7.998,2752.074,26.195,-4954.851,96.154,4954.851,0.0,51.53,2518.752
2020-07-15,4.469,-4998.685,625.0,4998.685,0.0,7.998,2793.325,26.38,-4954.851,96.154,4954.851,0.0,51.53,2536.542
2020-07-16,4.488,-4998.685,625.0,4998.685,0.0,7.998,2805.112,26.487,-4954.851,96.154,4954.851,0.0,51.53,2546.842
2020-07-17,4.441,-4998.685,625.0,4998.685,0.0,7.998,2775.646,25.883,-4954.851,96.154,4954.851,0.0,51.53,2488.789
2020-07-20,4.337,-4998.685,625.0,4998.685,0.0,7.998,2710.822,25.124,-4954.851,96.154,4954.851,0.0,51.53,2415.755
2020-07-21,4.535,-4998.685,625.0,4998.685,0.0,7.998,2834.577,26.76,-4954.851,96.154,4954.851,0.0,51.53,2573.06
2020-07-22,4.554,-4998.685,625.0,4998.685,0.0,7.998,2846.363,27.071,-4954.851,96.154,4954.851,0.0,51.53,2603.022
2020-07-23,4.545,-4998.685,625.0,4998.685,0.0,7.998,2840.47,27.247,-4954.851,96.154,4954.851,0.0,51.53,2619.877
2020-07-24,4.46,-4998.685,625.0,4998.685,0.0,7.998,2787.432,27.11,-4954.851,96.154,4954.851,0.0,51.53,2606.768
2020-07-27,4.507,-4998.685,625.0,4998.685,0.0,7.998,2816.898,27.899,-4954.851,96.154,4954.851,0.0,51.53,2682.611
2020-07-28,4.46,-4998.685,625.0,4998.685,0.0,7.998,2787.432,27.461,-4954.851,96.154,4954.851,0.0,51.53,2640.476
2020-07-29,4.479,-4998.685,625.0,4998.685,0.0,7.998,2799.218,27.763,-4954.851,96.154,4954.851,0.0,51.53,2669.503
2020-07-30,4.413,-4998.685,625.0,4998.685,0.0,7.998,2757.967,27.539,-4954.851,96.154,4954.851,0.0,51.53,2647.967
2020-07-31,4.309,-4998.685,625.0,4998.685,0.0,7.998,2693.142,27.188,-4954.851,96.154,4954.851,0.0,51.53,2614.259
2020-08-03,4.262,-4998.685,625.0,4998.685,0.0,7.998,2663.677,26.39,-4954.851,96.154,4954.851,0.0,51.53,2537.479
2020-08-04,4.243,-4998.685,625.0,4998.685,0.0,7.998,2651.891,25.747,-4954.851,96.154,4954.851,0.0,51.53,2475.681
2020-08-05,4.252,-4998.685,625.0,4998.685,0.0,7.998,2657.784,25.698,-4954.851,96.154,4954.851,0.0,51.53,2470.999
2020-08-06,4.252,-4998.685,625.0,4998.685,0.0,7.998,2657.784,25.552,-4954.851,96.154,4954.851,0.0,51.53,2456.954
2020-08-07,4.177,-4998.685,625.0,4998.685,0.0,7.998,2610.64,24.501,-4954.851,96.154,4954.851,0.0,51.53,2355.829
2020-08-10,4.224,-4998.685,625.0,4998.685,0.0,7.998,2640.105,25.854,-4954.851,96.154,4954.851,0.0,51.53,2485.98
2020-08-11,4.337,-4998.685,625.0,4998.685,0.0,7.998,2710.822,25.922,-4954.851,96.154,4954.851,0.0,51.53,2492.535
2020-08-12,4.262,-4998.685,625.0,4998.685,0.0,7.998,2663.677,25.562,-4954.851,96.154,4954.851,0.0,51.53,2457.89
2020-08-13,4.337,-4998.685,625.0,4998.685,0.0,7.998,2710.822,25.844,-4954.851,96.154,4954.851,0.0,51.53,2485.044
2020-08-14,4.271,-4998.685,625.0,4998.685,0.0,7.998,2669.57,25.601,-4954.851,96.154,4954.851,0.0,51.53,2461.635
2020-08-17,4.186,-4998.685,625.0,4998.685,0.0,7.998,2616.532,24.988,-4954.851,96.154,4954.851,0.0,51.53,2402.646
2020-08-18,4.234,-4998.685,625.0,4998.685,0.0,7.998,2645.998,25.786,-4954.851,96.154,4954.851,0.0,51.53,2479.426
2020-08-19,4.356,-4998.685,625.0,4998.685,0.0,7.998,2722.608,25.913,-4954.851,96.154,4954.851,0.0,51.53,2491.598
2020-08-20,4.356,-4998.685,625.0,4998.685,0.0,7.998,2722.608,26.137,-4954.851,96.154,4954.851,0.0,51.53,2513.134
2020-08-21,4.328,-4998.685,625.0,4998.685,0.0,7.998,2704.929,25.893,-4954.851,96.154,4954.851,0.0,51.53,2489.726
2020-08-24,4.45,-4998.685,625.0,4998.685,0.0,7.998,2781.539,26.594,-4954.851,96.154,4954.851,0.0,51.53,2557.142
2020-08-25,4.564,-4998.685,625.0,4998.685,0.0,7.998,2852.256,27.159,-4954.851,96.154,4954.851,0.0,51.53,2611.45
2020-08-26,4.564,-4998.685,625.0,4998.685,0.0,7.998,2852.256,27.451,-4954.851,96.154,4954.851,0.0,51.53,2639.54
2020-08-27,4.554,-4998.685,625.0,4998.685,0.0,7.998,2846.363,27.373,-4954.851,96.154,4954.851,0.0,51.53,2632.049
2020-08-28,4.686,-4998.685,625.0,4998.685,0.0,7.998,2928.866,28.006,-4954.851,96.154,4954.851,0.0,51.53,2692.911
2020-08-31,4.592,-4998.685,625.0,4998.685,0.0,7.998,2869.935,27.325,-4954.851,96.154,4954.851,0.0,51.53,2627.367
2020-09-01,4.799,-4998.685,625.0,4998.685,0.0,7.998,2999.583,29.399,-4954.851,96.154,4954.851,0.0,51.53,2826.808
2020-09-02,4.894,-4998.685,625.0,4998.685,0.0,7.998,3058.514,29.438,-4954.851,96.154,4954.851,0.0,51.53,2830.553
2020-09-03,4.828,-4998.685,625.0,4998.685,0.0,7.998,3017.262,29.009,-4954.851,96.154,4954.851,0.0,51.53,2789.354
2020-09-04,4.799,-4998.685,625.0,4998.685,0.0,7.998,2999.583,29.107,-4954.851,96.154,4954.851,0.0,51.53,2798.717
2020-09-08,4.658,-4998.685,625.0,4998.685,0.0,7.998,2911.187,28.376,-4954.851,96.154,4954.851,0.0,51.53,2728.492
2020-09-09,4.696,-4998.685,625.0,4998.685,0.0,7.998,2934.759,28.815,-4954.851,96.154,4954.851,0.0,51.53,2770.627
2020-09-10,4.63,-4998.685,625.0,4998.685,0.0,7.998,2893.508,27.743,-4954.851,96.154,4954.851,0.0,51.53,2667.63
2020-09-11,4.63,-4998.685,625.0,4998.685,0.0,7.998,2893.508,27.266,-4954.851,96.154,4954.851,0.0,51.53,2621.749
2020-09-14,4.62,-4998.685,625.0,4998.685,0.0,7.998,2887.614,26.974,-4954.851,96.154,4954.851,0.0,51.53,2593.659
