date,KB_adj_close,KB_cashflow,KB_cml_units,KB_cml_cost,KB_gain_loss,KB_avg_price,KB_mktvalue
2020-12-09,40.726,-4995.62,42.017,4995.62,0.0,118.896,1711.182
2020-12-10,41.669,-4995.62,42.017,4995.62,0.0,118.896,1750.779
2020-12-11,41.361,-4995.62,42.017,4995.62,0.0,118.896,1737.849
2020-12-14,40.832,-4995.62,42.017,4995.62,0.0,118.896,1715.626
2020-12-15,41.245,-4995.62,42.017,4995.62,0.0,118.896,1733.001
2020-12-16,40.976,-4995.62,42.017,4995.62,0.0,118.896,1721.687
2020-12-17,40.274,-4995.62,42.017,4995.62,0.0,118.896,1692.191
2020-12-18,39.322,-4995.62,42.017,4995.62,0.0,118.896,1652.189
2020-12-21,39.178,-4995.62,42.017,4995.62,0.0,118.896,1646.129
2020-12-22,38.303,-4995.62,42.017,4995.62,0.0,118.896,1609.359
2020-12-23,38.418,-4995.62,42.017,4995.62,0.0,118.896,1614.208
2020-12-24,39.312,-4995.62,42.017,4995.62,0.0,118.896,1651.785
2020-12-28,39.399,-4995.62,42.017,4995.62,0.0,118.896,1655.422
2020-12-29,39.5,-4995.62,42.017,4995.62,0.0,118.896,1659.664
2020-12-30,39.64,-4995.62,42.017,4995.62,0.0,118.896,1665.546
2020-12-31,39.6,-4995.62,42.017,4995.62,0.0,118.896,1663.865
2021-01-04,39.13,-4995.62,42.017,4995.62,0.0,118.896,1644.118
2021-01-05,39.93,-4995.62,42.017,4995.62,0.0,118.896,1677.731
2021-01-06,41.03,-4995.62,42.017,4995.62,0.0,118.896,1723.95
2021-01-07,42.07,-4995.62,42.017,4995.62,0.0,118.896,1767.647
2021-01-08,42.35,-4995.62,42.017,4995.62,0.0,118.896,1779.412
2021-01-11,41.97,-4995.62,42.017,4995.62,0.0,118.896,1763.445
2021-01-12,42.4,-4995.62,42.017,4995.62,0.0,118.896,1781.513
2021-01-13,43.1,-4995.62,42.017,4995.62,0.0,118.896,1810.924
2021-01-14,42.83,-4995.62,42.017,4995.62,0.0,118.896,1799.58
2021-01-15,40.95,-4995.62,42.017,4995.62,0.0,118.896,1720.588
2021-01-19,40.9,-4995.62,42.017,4995.62,0.0,118.896,1718.487
2021-01-20,41.25,-4995.62,42.017,4995.62,0.0,118.896,1733.193
2021-01-21,40.8,-4995.62,42.017,4995.62,0.0,118.896,1714.286
2021-01-22,39.88,-4995.62,42.017,4995.62,0.0,118.896,1675.63
2021-01-25,39.91,-4995.62,42.017,4995.62,0.0,118.896,1676.891
2021-01-26,39.04,-4995.62,42.017,4995.62,0.0,118.896,1640.336
2021-01-27,37.23,-4995.62,42.017,4995.62,0.0,118.896,1564.286
2021-01-28,37.54,-4995.62,42.017,4995.62,0.0,118.896,1577.311
2021-01-29,36.26,-4995.62,42.017,4995.62,0.0,118.896,1523.529
2021-02-01,38.14,-4995.62,42.017,4995.62,0.0,118.896,1602.521
2021-02-02,37.77,-4995.62,42.017,4995.62,0.0,118.896,1586.975
2021-02-03,37.62,-4995.62,42.017,4995.62,0.0,118.896,1580.672
2021-02-04,37.54,-4995.62,42.017,4995.62,0.0,118.896,1577.311
