date,VICI_adj_close,VICI_cashflow,VICI_cml_units,VICI_cml_cost,VICI_gain_loss,VICI_avg_price,VICI_mktvalue,CLMT_adj_close,CLMT_cashflow,CLMT_cml_units,CLMT_cml_cost,CLMT_gain_loss,CLMT_avg_price,CLMT_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,FRHC_adj_close,FRHC_cashflow,FRHC_cml_units,FRHC_cml_cost,FRHC_gain_loss,FRHC_avg_price,FRHC_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue
2020-01-08,22.831,-4996.939,312.5,4996.939,0.0,15.99,7134.606,4.25,-4999.02,2500.0,4999.02,0.0,2.0,10625.0,15.57,-4998.737,1250.0,4998.737,0.0,3.999,19462.5,14.42,-4997.3,625.0,4997.3,0.0,7.996,9012.5,13.46,-4998.0,833.333,4998.0,0.0,5.998,11216.667
2020-01-09,23.058,-4996.939,312.5,4996.939,0.0,15.99,7205.668,4.31,-4999.02,2500.0,4999.02,0.0,2.0,10775.0,15.742,-4998.737,1250.0,4998.737,0.0,3.999,19677.913,14.63,-4997.3,625.0,4997.3,0.0,7.996,9143.75,13.25,-4998.0,833.333,4998.0,0.0,5.998,11041.667
2020-01-10,23.076,-4996.939,312.5,4996.939,0.0,15.99,7211.353,4.5,-4999.02,2500.0,4999.02,0.0,2.0,11250.0,15.699,-4998.737,1250.0,4998.737,0.0,3.999,19624.059,14.8,-4997.3,625.0,4997.3,0.0,7.996,9250.0,13.52,-4998.0,833.333,4998.0,0.0,5.998,11266.667
2020-01-13,23.058,-4996.939,312.5,4996.939,0.0,15.99,7205.668,4.41,-4999.02,2500.0,4999.02,0.0,2.0,11025.0,16.044,-4998.737,1250.0,4998.737,0.0,3.999,20054.884,14.94,-4997.3,625.0,4997.3,0.0,7.996,9337.5,13.48,-4998.0,833.333,4998.0,0.0,5.998,11233.333
2020-01-14,23.167,-4996.939,312.5,4996.939,0.0,15.99,7239.777,4.47,-4999.02,2500.0,4999.02,0.0,2.0,11174.999,20.964,-4998.737,1250.0,4998.737,0.0,3.999,26204.906,14.88,-4997.3,625.0,4997.3,0.0,7.996,9300.0,13.58,-4998.0,833.333,4998.0,0.0,5.998,11316.667
2020-01-15,23.631,-4996.939,312.5,4996.939,0.0,15.99,7384.743,4.42,-4999.02,2500.0,4999.02,0.0,2.0,11050.0,21.49,-4998.737,1250.0,4998.737,0.0,3.999,26861.913,14.69,-4997.3,625.0,4997.3,0.0,7.996,9181.25,13.66,-4998.0,833.333,4998.0,0.0,5.998,11383.333
2020-01-16,23.822,-4996.939,312.5,4996.939,0.0,15.99,7444.436,4.55,-4999.02,2500.0,4999.02,0.0,2.0,11375.0,21.451,-4998.737,1250.0,4998.737,0.0,3.999,26813.445,14.84,-4997.3,625.0,4997.3,0.0,7.996,9275.0,13.75,-4998.0,833.333,4998.0,0.0,5.998,11458.333
2020-01-17,23.895,-4996.939,312.5,4996.939,0.0,15.99,7467.175,4.51,-4999.02,2500.0,4999.02,0.0,2.0,11275.001,20.938,-4998.737,1250.0,4998.737,0.0,3.999,26172.593,14.98,-4997.3,625.0,4997.3,0.0,7.996,9362.5,13.77,-4998.0,833.333,4998.0,0.0,5.998,11475.0
2020-01-21,23.986,-4996.939,312.5,4996.939,0.0,15.99,7495.601,4.58,-4999.02,2500.0,4999.02,0.0,2.0,11450.0,19.827,-4998.737,1250.0,4998.737,0.0,3.999,24783.185,15.31,-4997.3,625.0,4997.3,0.0,7.996,9568.75,13.52,-4998.0,833.333,4998.0,0.0,5.998,11266.667
2020-01-22,24.15,-4996.939,312.5,4996.939,0.0,15.99,7546.764,4.55,-4999.02,2500.0,4999.02,0.0,2.0,11375.0,19.456,-4998.737,1250.0,4998.737,0.0,3.999,24320.047,15.47,-4997.3,625.0,4997.3,0.0,7.996,9668.75,13.52,-4998.0,833.333,4998.0,0.0,5.998,11266.667
2020-01-23,24.204,-4996.939,312.5,4996.939,0.0,15.99,7563.82,4.47,-4999.02,2500.0,4999.02,0.0,2.0,11174.999,19.637,-4998.737,1250.0,4998.737,0.0,3.999,24546.232,15.27,-4997.3,625.0,4997.3,0.0,7.996,9543.75,13.57,-4998.0,833.333,4998.0,0.0,5.998,11308.333
2020-01-24,24.241,-4996.939,312.5,4996.939,0.0,15.99,7575.189,4.7,-4999.02,2500.0,4999.02,0.0,2.0,11750.0,19.99,-4998.737,1250.0,4998.737,0.0,3.999,24987.826,15.29,-4997.3,625.0,4997.3,0.0,7.996,9556.25,13.57,-4998.0,833.333,4998.0,0.0,5.998,11308.333
2020-01-27,23.986,-4996.939,312.5,4996.939,0.0,15.99,7495.601,4.57,-4999.02,2500.0,4999.02,0.0,2.0,11425.0,20.059,-4998.737,1250.0,4998.737,0.0,3.999,25073.991,15.12,-4997.3,625.0,4997.3,0.0,7.996,9450.0,13.58,-4998.0,833.333,4998.0,0.0,5.998,11316.667
2020-01-28,23.931,-4996.939,312.5,4996.939,0.0,15.99,7478.545,4.61,-4999.02,2500.0,4999.02,0.0,2.0,11525.0,19.87,-4998.737,1250.0,4998.737,0.0,3.999,24837.036,15.36,-4997.3,625.0,4997.3,0.0,7.996,9600.0,13.56,-4998.0,833.333,4998.0,0.0,5.998,11300.0
