date,TAL_adj_close,TAL_cashflow,TAL_cml_units,TAL_cml_cost,TAL_gain_loss,TAL_avg_price,TAL_mktvalue
2019-10-04,37.7,-4997.58,978.0,4997.58,21046.56,5.11,36870.601
2019-10-07,37.71,-4997.58,978.0,4997.58,21046.56,5.11,36880.379
2019-10-08,36.58,-4997.58,978.0,4997.58,21046.56,5.11,35775.242
2019-10-09,37.0,-4997.58,978.0,4997.58,21046.56,5.11,36186.0
2019-10-10,37.35,-4997.58,978.0,4997.58,21046.56,5.11,36528.299
2019-10-11,37.88,-4997.58,978.0,4997.58,21046.56,5.11,37046.641
2019-10-14,38.12,-4997.58,978.0,4997.58,21046.56,5.11,37281.359
2019-10-15,39.47,-4997.58,978.0,4997.58,21046.56,5.11,38601.661
2019-10-16,40.0,-4997.58,978.0,4997.58,21046.56,5.11,39120.0
2019-10-17,39.28,-4997.58,978.0,4997.58,21046.56,5.11,38415.839
2019-10-18,38.96,-4997.58,978.0,4997.58,21046.56,5.11,38102.879
2019-10-21,39.22,-4997.58,978.0,4997.58,21046.56,5.11,38357.161
2019-10-22,38.06,-4997.58,978.0,4997.58,21046.56,5.11,37222.681
2019-10-23,37.79,-4997.58,978.0,4997.58,21046.56,5.11,36958.621
2019-10-24,42.72,-4997.58,978.0,4997.58,21046.56,5.11,41780.161
2019-10-25,43.1,-4997.58,978.0,4997.58,21046.56,5.11,42151.799
2019-10-28,41.85,-4997.58,978.0,4997.58,21046.56,5.11,40929.299
2019-10-29,42.04,-4997.58,978.0,4997.58,21046.56,5.11,41115.121
2019-10-30,42.91,-4997.58,978.0,4997.58,21046.56,5.11,41965.98
2019-10-31,42.81,-4997.58,978.0,4997.58,21046.56,5.11,41868.181
2019-11-01,42.75,-4997.58,978.0,4997.58,21046.56,5.11,41809.5
2019-11-04,43.07,-4997.58,978.0,4997.58,21046.56,5.11,42122.46
2019-11-05,43.33,-4997.58,978.0,4997.58,21046.56,5.11,42376.742
2019-11-06,43.68,-4997.58,978.0,4997.58,21046.56,5.11,42719.04
2019-11-07,44.0,-4997.58,978.0,4997.58,21046.56,5.11,43032.0
2019-11-08,44.59,-4997.58,978.0,4997.58,21046.56,5.11,43609.02
2019-11-11,44.33,-4997.58,978.0,4997.58,21046.56,5.11,43354.742
2019-11-12,43.94,-4997.58,978.0,4997.58,21046.56,5.11,42973.319
2019-11-13,44.17,-4997.58,978.0,4997.58,21046.56,5.11,43198.258
2019-11-14,44.15,-4997.58,978.0,4997.58,21046.56,5.11,43178.701
2019-11-15,44.44,-4997.58,978.0,4997.58,21046.56,5.11,43462.319
2019-11-18,44.34,-4997.58,978.0,4997.58,21046.56,5.11,43364.52
2019-11-19,44.38,-4997.58,978.0,4997.58,21046.56,5.11,43403.641
2019-11-20,43.82,-4997.58,978.0,4997.58,21046.56,5.11,42855.96
2019-11-21,43.7,-4997.58,978.0,4997.58,21046.56,5.11,42738.601
2019-11-22,43.45,-4997.58,978.0,4997.58,21046.56,5.11,42494.101
2019-11-25,43.89,-4997.58,978.0,4997.58,21046.56,5.11,42924.419
2019-11-26,43.93,-4997.58,978.0,4997.58,21046.56,5.11,42963.54
